Resist voltmetro,x 1,y 1,yerr 1,Resist voltmetro,x 2,y 2,yerr 2,Resist amperom,x 3,y 3,yerr 3,Resist amperom,x 4,y 4,yerr 4,Verifica Ohm,x 5,y 5,yerr 5,Verifica Ohm,x 6,y 6,yerr 6,Parallello,x 7,y 7,yerr 7,Parallello,x 8,y 8,yerr 8,Serie,x 9,y 9,yerr 9,Serie,x 10,y 10,yerr 10,Diodo,x 11,y 11,yerr 11,,x 12,y 12,yerr 12,,x 13,y 13,yerr 13,,x 14,y 14,yerr 14,Fit V soglia,x 15,y 15,yerr 15,Diodo,x 16,y 16,yerr 16,,x 17,y 17,,x 18,y 18,yerr 18
x in microAmp,0.62,0.51,0.02255,dist unif,0.62,0.51,0.013019248570226,x in milliAmp,9.6,0.112,0.00256,dist unif,9.6,0.112,0.001478016689125,,0.109,0.219,0.003095,dist unif,0.109,0.219,0.001786899083142,,0.32,0.213,0.003065,dist unif,0.32,0.213,0.001769578575066,,0.06835,0.204,0.00302,dist unif,0.06835,0.204,0.001743597812953,dist unif,0.213,2E-05,5.001E-05,,0.703,7.68,0.004526426110447,,0.213,2E-05,5.001E-05,,0.779,77.52,0.024687497510548,,0.81,251.9,0.095811277172019,altro set,0.751,35.56,0.01257468886295,,10,0.336,,0.703,0.00768,4.526426110447E-06
y in Volt,1.22,1.014,0.00707,,1.22,1.014,0.004081866403171,y in Volt,18.128,0.209,0.003045,,18.128,0.209,0.001758031569682,,0.207,0.415,0.004075,,0.207,0.415,0.002352702346948,,0.628,0.417,0.004085,,0.628,0.417,0.00235847584964,,0.13394,0.4,0.004,,0.13394,0.4,0.002309401076759,prima scatto,0.413,0.00182,5.091E-05,dopo scatto,0.753,35.27,0.012490973073918,tutti,0.413,0.00182,5.091E-05,no valori estremi,0.793,125.91,0.038656487273591,,0.811,277.1,0.103085890563808,dopo scatto,0.793,123.44,0.058728069381969,,25,0.42,,0.753,0.03527,1.2490973073918E-05
,1.82,1.519,0.009595,,1.82,1.519,0.005539675832874,,26.734,0.309,0.003545,,26.734,0.309,0.002046706704277,,0.309,0.62,0.0051,,0.309,0.62,0.002944486372867,,0.933,0.619,0.005095,,0.933,0.619,0.002941599621521,,0.20104,0.6,0.005,,0.20104,0.6,0.002886751345948,,0.588,0.258,0.000179,,0.779,77.52,0.024687497510548,,0.588,0.258,0.000179,,0.803,175.2,0.05288528465777,,0.814,302.3,0.110360503955597,,0.808,222.1,0.087208758161093,,50,0.458,,0.779,0.07752,2.4687497510548E-05
,2.42,2.033,0.012165,,2.42,2.033,0.007023466024692,,35.46,0.409,0.004045,,35.46,0.409,0.002335381838872,,0.41,0.82,0.0061,,0.41,0.82,0.003521836642057,,1.23,0.816,0.00608,,1.23,0.816,0.003510289636673,,0.26481,0.791,0.005955,,0.26481,0.791,0.003438120853024,,0.63,0.8606,0.0004803,,0.793,125.91,0.038656487273591,,0.63,0.8606,0.0004803,,0.808,227.2,0.0678963916567,,0.816,331.5,0.118789817885766,,0.816,322.9,0.11630721172825,,100,0.479,,0.793,0.12591,3.8656487273591E-05
,3.01,2.521,0.014605,,3.01,2.521,0.008432200681514,,40.202,0.464,0.00432,,40.202,0.464,0.002494153162899,,0.511,1.021,0.007105,,0.511,1.021,0.004102073662592,,1.538,1.02,0.0071,,1.538,1.02,0.004099186911246,,0.33115,0.989,0.006945,,0.33115,0.989,0.004009697619522,,0.651,1.622,0.000861,,0.803,175.2,0.05288528465777,,0.651,1.622,0.000861,,0.81,251.9,0.075026667481192,,0.817,354.1,0.125313875927608,,0.821,423.61,0.145379684533294,,250,0.493,,0.803,0.1752,5.288528465777E-05
,3.62,3.019,0.017095,,3.62,3.019,0.009869802851797,,44.35,0.512,0.00456,,44.35,0.512,0.002632717227505,,0.609,1.216,0.00808,,0.609,1.216,0.004664990175052,,1.835,1.217,0.008085,,1.835,1.217,0.004667876926398,,0.39593,1.182,0.00791,,0.39593,1.182,0.00456684062929,,0.666,2.505,0.0013025,,0.808,227.2,0.0678963916567,,0.666,2.505,0.0013025,,0.811,277.1,0.082301280872981,,0.819,382.3,0.133454514723182,,0.739,24.54,0.030178098570542,,500,0.498,,0.808,0.2272,6.78963916567E-05
,4.8,4.015,0.022075,,4.8,4.015,0.012745007192361,,,,,,,,,,0.708,1.415,0.009075,,0.708,1.415,0.005239453692896,,2.138,1.417,0.009085,,2.138,1.417,0.005245227195588,,0.45965,1.373,0.008865,,0.45965,1.373,0.005118210136366,,0.676,3.362,0.001731,,0.81,251.9,0.075026667481192,,0.676,3.362,0.001731,,0.814,302.3,0.089575894264771,,0.82,404.3,0.139805367684268,,0.754,37.71,0.033979950093156,,750,0.5,,0.81,0.2519,7.5026667481192E-05
,5.99,5.015,0.027075,,5.99,5.015,0.015631758538309,,,,,,,,,,0.809,1.616,0.01008,,0.809,1.616,0.005819690713431,,2.442,1.619,0.010095,,2.442,1.619,0.005828350967469,,0.5259,1.57,0.00985,,0.5259,1.57,0.005686900151518,,0.684,4.343,0.0022215,,0.811,277.1,0.082301280872981,,0.684,4.343,0.0022215,,0.816,331.5,0.098005208194939,,,,,,0.764,51.21,0.037877064410185,,1000,0.501,,0.811,0.2771,8.2301280872981E-05
,,,,,,,,,,,,,,,,,0.908,1.815,0.011075,,0.908,1.815,0.006394154231275,,2.741,1.817,0.011085,,2.741,1.817,0.006399927733967,,0.5882,1.757,0.010785,,0.5882,1.757,0.00622672265321,,0.688,4.812,0.002456,,0.814,302.3,0.089575894264771,,0.688,4.812,0.002456,,0.817,354.1,0.104529266236782,,,,,,0.774,69.52,0.043162706124617,,1100,0.501,,0.814,0.3023,8.9575894264771E-05
,,,,,,,,,,,,,,,,,1.008,2.015,0.012075,,1.008,2.015,0.006971504500465,,3.032,2.01,0.01205,,3.032,2.01,0.006957070743735,,0.654,1.953,0.011765,,0.654,1.953,0.006792525917016,,,,,,0.816,331.5,0.098005208194939,,0.703,7.68,0.004526426110447,,0.79,111.8,0.034583281124459,,,,,,0.781,85.83,0.047870997569858,,5,0.252,,0.816,0.3315,9.8005208194939E-05
,,,,,,,,,,,,,,,,,1.108,2.213,0.013065,,1.108,2.213,0.007543081266962,,3.334,2.214,0.01307,,3.334,2.214,0.007545968018308,,0.7177,2.143,0.012715,,0.7177,2.143,0.007341008672746,,,,,,0.817,354.1,0.104529266236782,,0.753,35.27,0.012490973073918,,0.797,148.2,0.04509105602371,,,,,,,,,,,,,0.817,0.3541,0.000104529266237
,,,,,,,,,,,,,,,,,1.212,2.421,0.014105,,1.212,2.421,0.00814352554692,,3.644,2.419,0.014095,,3.644,2.419,0.008137752044228,,0.7823,2.336,0.01368,,0.7823,2.336,0.007898151682514,,,,,,0.819,382.3,0.112669905032355,,0.779,77.52,0.024687497510548,,0.8,168,0.050806823688687,,,,,,,,,,,,,0.819,0.3823,0.000112669905032
,,,,,,,,,,,,,,,,,1.312,2.621,0.015105,,1.312,2.621,0.008720875816109,,3.944,2.614,0.01507,,3.944,2.614,0.008700668556688,,0.8477,2.531,0.014655,,0.8477,2.531,0.008461068194974,,,,,,0.82,404.3,0.119020757993441,,0.793,125.91,0.038656487273591,,0.804,196,0.058889727457342,,,,,,,,,,,,,0.82,0.4043,0.000119020757993
,,,,,,,,,,,,,,,,,1.41,2.815,0.016075,,1.41,2.815,0.009280905577223,,4.243,2.812,0.01606,,4.243,2.812,0.009272245323185,,0.9137,2.728,0.01564,,0.9137,2.728,0.009029758210126,,,,,,0.82,436,0.128171759760097,,0.803,175.2,0.05288528465777,,0.809,239,0.071302758244919,,,,,,,,,,,,,0.82,0.436,0.00012817175976
,,,,,,,,,,,,,,,,,1.513,3.019,0.017095,,1.513,3.019,0.009869802851797,,4.544,3.01,0.01705,,4.544,3.01,0.009843822089683,,0.9778,2.92,0.0166,,0.9778,2.92,0.009584014468548,,,,,,0.79,111.8,0.034583281124459,,0.808,227.2,0.0678963916567,,,,,,,,,,,,,,,,,0.79,0.1118,3.4583281124459E-05
,,,,,,,,,,,,,,,,,1.611,3.214,0.01807,,1.611,3.214,0.010432719364257,,4.84,3.207,0.018035,,4.84,3.207,0.010412512104835,,1.0424,3.113,0.017565,,1.0424,3.113,0.010141157478316,,,,,,0.797,148.2,0.04509105602371,,0.81,251.9,0.075026667481192,,,,,,,,,,,,,,,,,0.797,0.1482,4.509105602371E-05
,,,,,,,,,,,,,,,,,1.712,3.418,0.01909,,1.712,3.418,0.01102161663883,,5.14,3.405,0.019025,,5.14,3.405,0.010984088871333,,1.1067,3.305,0.018525,,1.1067,3.305,0.010695413736738,,,,,,0.8,168,0.050806823688687,,0.811,277.1,0.082301280872981,,,,,,,,,,,,,,,,,0.8,0.168,5.0806823688687E-05
,,,,,,,,,,,,,,,,,1.813,3.619,0.020095,,1.813,3.619,0.011601853659366,,5.449,3.61,0.02005,,5.449,3.61,0.011575872897252,,1.1719,3.5,0.0195,,1.1719,3.5,0.011258330249198,,,,,,0.804,196,0.058889727457342,,0.814,302.3,0.089575894264771,,,,,,,,,,,,,,,,,0.804,0.196,5.8889727457342E-05
,,,,,,,,,,,,,,,,,1.913,3.819,0.021095,,1.913,3.819,0.012179203928555,,5.744,3.805,0.021025,,5.744,3.805,0.012138789409712,,1.2363,3.692,0.02046,,1.2363,3.692,0.01181258650762,,,,,,0.809,239,0.071302758244919,,0.816,331.5,0.098005208194939,,,,,,,,,,,,,,,,,0.809,0.239,7.1302758244919E-05
,,,,,,,,,,,,,,,,,2.112,4.216,0.02308,,2.112,4.216,0.013325244212897,,6.051,4.009,0.022045,,6.051,4.009,0.012727686684285,,1.3032,3.892,0.02146,,1.3032,3.892,0.012389936776809,,,,,,,,,,0.817,354.1,0.104529266236782,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,6.352,4.208,0.02304,,6.352,4.208,0.013302150202129,,1.3679,4.085,0.022425,,1.3679,4.085,0.012947079786577,,,,,,,,,,0.819,382.3,0.112669905032355,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,404.3,0.119020757993441,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,436,0.128171759760097,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,111.8,0.034583281124459,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.797,148.2,0.04509105602371,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,168,0.050806823688687,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804,196,0.058889727457342,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.809,239,0.071302758244919,,,,,,,,,,,,,,,,,,,
